 Column1 ;Column2;Column3
Channel              :;CH1;CH2
Frequency            :;174,5Hz;174,7Hz
Period               :;5,731ms;5,725ms
PK-PK                :;428,0mV;140,0mV
Probe attenuation    :;1X;1X
Voltage per ADC value:;0,250000mV;0,250000mV
Time interval        :;10,00000uS;10,00000uS
;;
index;CH1_Voltage(mV);CH2_Voltage(mV)
1210;-184;56
1211;-180;56
1212;-184;56
1213;-180;56
1214;-180;56
1215;-176;56
1216;-180;56
1217;-180;56
1218;-176;56
1219;-180;56
1220;-176;56
1221;-172;56
1222;-172;56
1223;-172;52
1224;-172;56
1225;-172;56
1226;-176;56
1227;-172;52
1228;-168;56
1229;-168;56
1230;-168;56
1231;-168;56
1232;-168;52
1233;-176;52
1234;-164;52
1235;-164;48
1236;-160;48
1237;-160;48
1238;-156;48
1239;-160;44
1240;-152;40
1241;-156;40
1242;-156;40
1243;-156;36
1244;-152;36
1245;-148;32
1246;-152;32
1247;-136;32
1248;-148;32
1249;-148;32
1250;-148;28
1251;-148;32
1252;-140;28
1253;-140;32
1254;-140;28
1255;-140;32
1256;-140;36
1257;-140;40
1258;-136;40
1259;-144;48
1260;-132;48
1261;-132;52
1262;-128;56
1263;-128;56
1264;-128;60
1265;-124;64
1266;-124;64
1267;-124;64
1268;-120;64
1269;-120;68
1270;-116;64
1271;-116;64
1272;-112;64
1273;-112;64
1274;-108;68
1275;-112;68
1276;-104;68
1277;-104;68
1278;-104;64
1279;-104;64
1280;-108;64
1281;-96;64
1282;-96;60
1283;-92;60
1284;-92;60
1285;-88;60
1286;-88;60
1287;-96;60
1288;-84;60
1289;-80;60
1290;-80;60
1291;-80;60
1292;-76;56
1293;-76;56
1294;-76;60
1295;-72;56
1296;-68;56
1297;-68;56
1298;-64;56
1299;-64;56
1300;-60;56
1301;-56;52
1302;-56;56
1303;-52;52
1304;-52;56
1305;-52;56
1306;-48;56
1307;-48;56
1308;-40;52
1309;-40;52
1310;-40;52
1311;-40;52
1312;-36;52
1313;-36;52
